home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year,winner
Brazil,Italy,2,NA,NA,1,NA,NA,Claudio Coutinho,Émerson Leão,Enzo Bearzot,Dino Zoff,Nelinho · 64|Dirceu · 72,Franco Causio · 38,69659,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Abraham Klein (Referee) · Alfonso Gonzalez Archundia (AR1) · Karoly Palotai (AR2),1978-06-24,2–1,Abraham Klein,NA,Third-place match,Argentina,1978,Brazil
Netherlands,Italy,2,NA,NA,1,NA,NA,Ernst Happel,Ruud Krol,Enzo Bearzot,Dino Zoff,Ernie Brandts · 50|Arie Haan · 75,Ernie Brandts (OG) · 18,67433,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Angel Martinez (Referee) · Luis Pestarino (AR1) · Cesar Orozco Guerrero (AR2),1978-06-21,2–1,Angel Martinez,NA,Second round,Argentina,1978,Netherlands
Austria,West Germany,3,NA,NA,2,NA,NA,Helmut Senekowitsch,Robert Sara,Helmut Schoen,Berti Vogts,Berti Vogts (OG) · 59|Hans Krankl · 66|Hans Krankl · 87,Karl-Heinz Rummenigge · 19|Bernd Hölzenbein · 68,38318,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Abraham Klein (Referee) · Alojzy Jarguz (AR1) · Antonio Garrido (AR2),1978-06-21,3–2,Abraham Klein,NA,Second round,Argentina,1978,Austria
Brazil,Poland,3,NA,NA,1,NA,NA,Claudio Coutinho,Émerson Leão,Jacek Gmoch,Kazimierz Deyna,Nelinho · 12|Roberto Dinamite · 57|Roberto Dinamite · 63,Grzegorz Lato · 45,39586,"San Martin, Mendoza",Juan Silvagno Cavanna (Referee) · Anatoly Ivanov (AR1) · Alfonso Gonzalez Archundia (AR2),1978-06-21,3–1,Juan Silvagno Cavanna,NA,Second round,Argentina,1978,Brazil
Argentina,Peru,6,NA,NA,0,NA,NA,Cesar Luis Menotti,Daniel Passarella,Marcos Calderon,Héctor Chumpitaz,Mario Kempes · 21|Alberto Tarantini · 43|Mario Kempes · 48|Leopoldo Luque · 50|René Houseman · 67|Leopoldo Luque · 72,NA,37315,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Robert Wurtz (Referee) · Ferdinand Biwersi (AR1) · Sergio Gonella (AR2),1978-06-21,6–0,Robert Wurtz,NA,Second round,Argentina,1978,Argentina
Poland,Peru,1,NA,NA,0,NA,NA,Jacek Gmoch,Kazimierz Deyna,Marcos Calderon,Héctor Chumpitaz,Andrzej Szarmach · 65,NA,35288,"San Martin, Mendoza",Pat Partridge (Referee) · Thomas Clive (AR1) · Charles Corver (AR2),1978-06-18,1–0,Pat Partridge,NA,Second round,Argentina,1978,Poland
West Germany,Netherlands,2,NA,NA,2,NA,NA,Helmut Schoen,Berti Vogts,Ernst Happel,Ruud Krol,Rüdiger Abramczik · 3|Dieter Müller · 70,Arie Haan · 27|René van de Kerkhof · 84|Dick Nanninga · 88,40750,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Ramon Barreto Ruiz (Referee) · Miguel Comesana (AR1) · Arnaldo Coelho (AR2),1978-06-18,2–2,Ramon Barreto Ruiz,NA,Second round,Argentina,1978,Draw
Italy,Austria,1,NA,NA,0,NA,NA,Enzo Bearzot,Dino Zoff,Helmut Senekowitsch,Robert Sara,Paolo Rossi · 14,NA,66695,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Francis Rion (Referee) · Norberto Angel Coerezza (AR1) · Youssou Ndiaye (AR2),1978-06-18,1–0,Francis Rion,NA,Second round,Argentina,1978,Italy
Argentina,Brazil,0,NA,NA,0,NA,NA,Cesar Luis Menotti,Daniel Passarella,Claudio Coutinho,Émerson Leão,NA,NA,37326,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Karoly Palotai (Referee) · Erich Linemayr (AR1) · Adolf Prokop (AR2),1978-06-18,0–0,Karoly Palotai,NA,Second round,Argentina,1978,Draw
Netherlands,Austria,5,NA,NA,1,NA,NA,Ernst Happel,Ruud Krol,Helmut Senekowitsch,Robert Sara,Ernie Brandts · 6|Rob Rensenbrink (P) · 35|Johnny Rep · 36|Johnny Rep · 53|Willy van de Kerkhof · 82,Erich Obermayer · 79,25050,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",John Gordon (Referee) · Arturo Andres Ithurralde (AR1) · Farouk Bouzo (AR2),1978-06-14,5–1,John Gordon,NA,Second round,Argentina,1978,Netherlands
West Germany,Italy,0,NA,NA,0,NA,NA,Helmut Schoen,Berti Vogts,Enzo Bearzot,Dino Zoff,NA,NA,67547,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Dusan Maksimovic (Referee) · Alfonso Gonzalez Archundia (AR1) · Miguel Comesana (AR2),1978-06-14,0–0,Dusan Maksimovic,NA,Second round,Argentina,1978,Draw
Brazil,Peru,3,NA,NA,0,NA,NA,Claudio Coutinho,Émerson Leão,Marcos Calderon,Héctor Chumpitaz,Dirceu · 15|Dirceu · 28|Zico (P) · 73,NA,31278,"San Martin, Mendoza",Nicolae Rainea (Referee) · Jean Dubach (AR1) · Werner Winsemann (AR2),1978-06-14,3–0,Nicolae Rainea,NA,Second round,Argentina,1978,Brazil
Argentina,Poland,2,NA,NA,0,NA,NA,Cesar Luis Menotti,Daniel Passarella,Jacek Gmoch,Kazimierz Deyna,Mario Kempes · 16|Mario Kempes · 71,NA,37091,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Ulf Eriksson (Referee) · Jafar Namdar (AR1) · Tesfaye Gebreyesus Difue (AR2),1978-06-14,2–0,Ulf Eriksson,NA,Second round,Argentina,1978,Argentina
Brazil,Austria,1,NA,NA,0,NA,NA,Claudio Coutinho,Émerson Leão,Helmut Senekowitsch,Robert Sara,Roberto Dinamite · 40,NA,35221,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",Robert Wurtz (Referee) · Farouk Bouzo (AR1) · Tesfaye Gebreyesus Difue (AR2),1978-06-11,1–0,Robert Wurtz,NA,First round,Argentina,1978,Brazil
Spain,Sweden,1,NA,NA,0,NA,NA,Ladislao Kubala,Juan Manuel Asensi,Georg Ericson,Björn Nordqvist,Juan Manuel Asensi · 75,NA,42132,"Jose Amalfitani, Buenos Aires",Ferdinand Biwersi (Referee) · Arturo Andres Ithurralde (AR1) · Adolf Prokop (AR2),1978-06-11,1–0,Ferdinand Biwersi,NA,First round,Argentina,1978,Spain
Peru,IR Iran,4,NA,NA,1,NA,NA,Marcos Calderon,Héctor Chumpitaz,Heshmat Mohadjerani,Ali Parvin,José Velásquez · 2|Teófilo Cubillas (P) · 36|Teófilo Cubillas (P) · 39|Teófilo Cubillas · 79,Hassan Rowshan · 41,21262,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Alojzy Jarguz (Referee) · Dusan Maksimovic (AR1) · Werner Winsemann (AR2),1978-06-11,4–1,Alojzy Jarguz,NA,First round,Argentina,1978,Peru
Scotland,Netherlands,3,NA,NA,2,NA,NA,Alistair Macleod,Bruce Rioch,Ernst Happel,Ruud Krol,Kenny Dalglish · 44|Archie Gemmill (P) · 47|Archie Gemmill · 68,Rob Rensenbrink (P) · 34|Johnny Rep · 71,35130,"San Martin, Mendoza",Erich Linemayr (Referee) · Karoly Palotai (AR1) · Hedi Seoudi (AR2),1978-06-11,3–2,Erich Linemayr,NA,First round,Argentina,1978,Scotland
