home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year,winner
Argentina,El Salvador,2,NA,NA,0,NA,NA,Cesar Luis Menotti,Daniel Passarella,Mauricio Rodriguez,Norberto Huezo,Daniel Passarella (P) · 22|Daniel Bertoni · 54,NA,32500,"Jose Rico Perez, Alicante",Luis Barrancos (Referee) · Augusto Lamo Castillo (AR1) · Belaid Lacarne (AR2),1982-06-23,2–0,Luis Barrancos,NA,First group stage,Spain,1982,Argentina
Brazil,New Zealand,4,NA,NA,0,NA,NA,Tele Santana,Sócrates,John Adshead,Steve Sumner,Zico · 28|Zico · 31|Paulo Roberto Falcão · 64|Serginho Chulapa · 70,NA,43000,"Benito Villamarin, Seville",Damir Matovinovic (Referee) · Abraham Klein (AR1) · Charles Corver (AR2),1982-06-23,4–0,Damir Matovinovic,NA,First group stage,Spain,1982,Brazil
Poland,Peru,5,NA,NA,1,NA,NA,Antoni Piechniczek,Władysław Żmuda,Tim,Rubén Toribio Díaz,Włodzimierz Smolarek · 55|Grzegorz Lato · 58|Zbigniew Boniek · 61|Andrzej Buncol · 68|Włodzimierz Ciołek · 76,Guillermo La Rosa · 83,25000,"Riazor, La Coruï¿½A",Mario Rubio Vazquez (Referee) · Emilio Soriano Aladren (AR1) · Victoriano Sanchez Arminio (AR2),1982-06-22,5–1,Mario Rubio Vazquez,NA,First group stage,Spain,1982,Poland
Belgium,Hungary,1,NA,NA,1,NA,NA,Guy Thys,Eric Gerets,Kalman Meszoly,Tibor Nyilasi,Alexandre Czerniatynski · 76,József Varga · 27,37000,"Nuevo Estadio, Elche",Clive White (Referee) · Walter Eschweiler (AR1) · Belaid Lacarne (AR2),1982-06-22,1–1,Clive White,NA,First group stage,Spain,1982,Draw
Soviet Union,Scotland,2,NA,NA,2,NA,NA,Konstantin Beskov,Aleksandre Chivadze,Jock Stein,Graeme Souness,Aleksandre Chivadze · 59|Ramaz Shengelia · 84,Joe Jordan · 15|Graeme Souness · 86,45000,"La Rosaleda, Malaga",Nicolae Rainea (Referee) · Alojzy Jarguz (AR1) · Alexis Ponnet (AR2),1982-06-22,2–2,Nicolae Rainea,NA,First group stage,Spain,1982,Draw
Algeria,Austria,0,NA,NA,2,NA,NA,Rachid Mekhloufi,Ali Fergani,Georg Schmidt,Erich Obermayer,NA,Walter Schachner · 55|Hans Krankl · 67,22000,"Carlos Tartiere, Oviedo",Tony Boskovic (Referee) · Vojtech Christov (AR1) · Ebrahim Al Doy (AR2),1982-06-21,0–2,Tony Boskovic,NA,First group stage,Spain,1982,Austria
France,Kuwait,4,NA,NA,1,NA,NA,Michel Hidalgo,Michel Platini,Carlos Alberto Parreira,Saad Al-Houti,Bernard Genghini · 31|Michel Platini · 43|Didier Six · 48|Maxime Bossis · 89,Abdullah Al-Buloushi · 75,30043,"Jose Zorrilla, Valladolid",Miroslav Stupar (Referee) · Erik Fredriksson (AR1) · Damir Matovinovic (AR2),1982-06-21,4–1,Miroslav Stupar,NA,First group stage,Spain,1982,France
Honduras,Northern Ireland,1,NA,NA,1,NA,NA,Jose De La Paz,Ramón Maradiaga,Billy Bingham,Martin O'Neill,Eduardo Laing · 60,Gerry Armstrong · 9,15000,"La Romareda, Zaragoza",Thomson Tam Sun Chan (Referee) · Enrique Labo Revoredo (AR1) · Paolo Casarin (AR2),1982-06-21,1–1,Thomson Tam Sun Chan,NA,First group stage,Spain,1982,Draw
West Germany,Chile,4,NA,NA,1,NA,NA,Jupp Derwall,Karl-Heinz Rummenigge,Luis Alberto Santibanez,Elías Figueroa,Karl-Heinz Rummenigge · 9|Karl-Heinz Rummenigge · 57|Karl-Heinz Rummenigge · 66|Uwe Reinders · 83,Gustavo Moscoso · 90,42000,"El Molinon, Gijon",Bruno Galler (Referee) · Vojtech Christov (AR1) · Tony Boskovic (AR2),1982-06-20,4–1,Bruno Galler,NA,First group stage,Spain,1982,West Germany
England,Czechoslovakia,2,NA,NA,0,NA,NA,Ron Greenwood,Mick Mills,Jozef Venglos,Zdeněk Nehoda,Trevor Francis · 62|Jozef Barmoš (OG) · 66,NA,41123,"San Mames, Bilbao",Charles Corver (Referee) · Bogdan Dotchev (AR1) · Gilberto Aristizabal Murcia (AR2),1982-06-20,2–0,Charles Corver,NA,First group stage,Spain,1982,England
