team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
Soviet Union,2,NA,NA,Gavril Kachalin,Albert Shesternyov,Anatoliy Byshovets · 51|Anatoliy Byshovets · 74,89979,"Estadio Azteca, Mexico City",Rafael Hormazabal Diaz (Referee) · Norberto Angel Coerezza (AR1) · Ayrton Vieira De Moraes (AR2),1970-06-10,Rafael Hormazabal Diaz,NA,Group stage,Mexico,1970,Y,1
Mexico,4,NA,NA,Raul Cardenas,Gustavo Peña,Javier Valdivia · 45|Javier Valdivia · 46|Javier Fragoso · 58|Juan Ignacio Basaguren · 83,103058,"Estadio Azteca, Mexico City",Aly Hussein Kandil (Referee) · Keith Dunstan (AR1) · John Taylor (AR2),1970-06-07,Aly Hussein Kandil,NA,Group stage,Mexico,1970,Y,1
Brazil,1,NA,NA,Mario Zagallo,Carlos Alberto Torres,Jairzinho · 59,66843,"Jalisco, Guadalajara",Abraham Klein (Referee) · Arturo Yamasaki Maldonado (AR1) · Roger Machin (AR2),1970-06-07,Abraham Klein,NA,Group stage,Mexico,1970,Y,1
West Germany,5,NA,NA,Helmut Schoen,Uwe Seeler,Reinhard Libuda · 20|Gerd Müller · 27|Gerd Müller (P) · 52|Uwe Seeler · 70|Gerd Müller · 88,12710,"Nou Camp - Estadio Leï¿½n, Leon",Jose Maria Ortiz De Mendibil (Referee) · Guillermo Velasquez (AR1) · Antonio Saldanha Ribeiro (AR2),1970-06-07,Jose Maria Ortiz De Mendibil,NA,Group stage,Mexico,1970,Y,1
Sweden,1,NA,NA,Orvar Bergmark,Tommy Svensson,Tom Turesson · 53,9624,"Luis Dosal, Toluca",Seyoum Tarekegn (Referee) · Andrei Radulescu (AR1) · Drago Horvat (AR2),1970-06-07,Seyoum Tarekegn,NA,Group stage,Mexico,1970,Y,0.5
Romania,2,NA,NA,Angelo Niculescu,Mircea Lucescu,Alexandru Neagu · 52|Florea Dumitrache (P) · 75,56818,"Jalisco, Guadalajara",Diego De Leo (Referee) · Gyula Emsberger (AR1) · Vital Loraux (AR2),1970-06-06,Diego De Leo,NA,Group stage,Mexico,1970,Y,1
Uruguay,0,NA,NA,Juan Hohberg,Luis Ubiña,NA,29968,"Cuauhtemoc, Puebla",Rudolf Gloeckner (Referee) · Kurt Tschenscher (AR1) · Drago Horvat (AR2),1970-06-06,Rudolf Gloeckner,NA,Group stage,Mexico,1970,Y,0.5
Soviet Union,4,NA,NA,Gavril Kachalin,Albert Shesternyov,Anatoliy Byshovets · 14|Kakhi Asatiani · 57|Anatoliy Byshovets · 63|Vitaliy Khmelnytskyi · 76,95261,"Estadio Azteca, Mexico City",Ruedi Scheurer (Referee) · Henry Landauer (AR1) · Bob Davidson (AR2),1970-06-06,Ruedi Scheurer,NA,Group stage,Mexico,1970,Y,1
Peru,3,NA,NA,Didi,Héctor Chumpitaz,Teófilo Cubillas · 65|Roberto Challe · 67|Teófilo Cubillas · 75,13537,"Nou Camp - Estadio Leï¿½n, Leon",Tofik Bakhramov (Referee) · Yoshiyuki Maruyama (AR1) · Antonio Sbardella (AR2),1970-06-06,Tofik Bakhramov,NA,Group stage,Mexico,1970,Y,1
Belgium,3,NA,NA,Raymond Goethals,Paul Van Himst,Wilfried Van Moer · 12|Wilfried Van Moer · 54|Raoul Lambert (P) · 79,92205,"Estadio Azteca, Mexico City",Andrei Radulescu (Referee) · Rudolf Gloeckner (AR1) · Kurt Tschenscher (AR2),1970-06-03,Andrei Radulescu,NA,Group stage,Mexico,1970,Y,1
Brazil,4,NA,NA,Mario Zagallo,Carlos Alberto Torres,Rivellino · 24|Pelé · 59|Jairzinho · 61|Jairzinho · 83,52897,"Jalisco, Guadalajara",Ramon Barreto Ruiz (Referee) · Abraham Klein (AR1) · Arturo Yamasaki Maldonado (AR2),1970-06-03,Ramon Barreto Ruiz,NA,Group stage,Mexico,1970,Y,1
Italy,1,NA,NA,Ferruccio Valcareggi,Giacinto Facchetti,Angelo Domenghini · 10,13433,"Luis Dosal, Toluca",John Taylor (Referee) · Ruedi Scheurer (AR1) · Aly Hussein Kandil (AR2),1970-06-03,John Taylor,NA,Group stage,Mexico,1970,Y,1
West Germany,2,NA,NA,Helmut Schoen,Uwe Seeler,Uwe Seeler · 56|Gerd Müller · 80,12942,"Nou Camp - Estadio Leï¿½n, Leon",Laurens Van Ravens (Referee) · Jose Maria Ortiz De Mendibil (AR1) · Guillermo Velasquez (AR2),1970-06-03,Laurens Van Ravens,NA,Group stage,Mexico,1970,Y,1
England,1,NA,NA,Alf Ramsey,Bobby Moore,Geoff Hurst · 65,50560,"Jalisco, Guadalajara",Vital Loraux (Referee) · Roger Machin (AR1) · Diego De Leo (AR2),1970-06-02,Vital Loraux,NA,Group stage,Mexico,1970,Y,1
Peru,3,NA,NA,Didi,Héctor Chumpitaz,Alberto Gallardo · 50|Héctor Chumpitaz · 55|Teófilo Cubillas · 73,13765,"Nou Camp - Estadio Leï¿½n, Leon",Antonio Sbardella (Referee) · Abel Aguilar Elizalde (AR1) · Yoshiyuki Maruyama (AR2),1970-06-02,Antonio Sbardella,NA,Group stage,Mexico,1970,Y,1
Uruguay,2,NA,NA,Juan Hohberg,Pedro Rocha,Ildo Maneiro · 23|Juan Mujica · 50,20654,"Cuauhtemoc, Puebla",Bob Davidson (Referee) · Ruedi Scheurer (AR1) · Seyoum Tarekegn (AR2),1970-06-02,Bob Davidson,NA,Group stage,Mexico,1970,Y,1
Mexico,0,NA,NA,Raul Cardenas,Gustavo Peña,NA,107160,"Estadio Azteca, Mexico City",Kurt Tschenscher (Referee) · Keith Dunstan (AR1) · John Taylor (AR2),1970-05-31,Kurt Tschenscher,NA,Group stage,Mexico,1970,Y,0.5
England,4,NA,NA,Alf Ramsey,Bobby Moore,Geoff Hurst · 18|Martin Peters · 78|Geoff Hurst · 101|Geoff Hurst · 120,96924,"Wembley Stadium, London",Gottfried Dienst (Referee) · Tofik Bakhramov (AR1) · Karol Galba (AR2),1966-07-30,Gottfried Dienst,Required Extra Time,Final,England,1966,Y,1
Portugal,2,NA,NA,Otto Gloria,Mário Coluna,Eusébio (P) · 12|José Augusto Torres · 89,87696,"Wembley Stadium, London",Kenneth Dagnall (Referee) · Kevin Howley (AR1) · Aly Hussein Kandil (AR2),1966-07-28,Kenneth Dagnall,NA,Third-place match,England,1966,Y,1
England,2,NA,NA,Alf Ramsey,Bobby Moore,Bobby Charlton · 30|Bobby Charlton · 80,94493,"Wembley Stadium, London",Pierre Schwinte (Referee) · Arturo Yamasaki Maldonado (AR1) · Konstantin Zecevic (AR2),1966-07-26,Pierre Schwinte,NA,Semi-finals,England,1966,Y,1
West Germany,2,NA,NA,Helmut Schoen,Uwe Seeler,Helmut Haller · 43|Franz Beckenbauer · 67,38273,"Goodison Park, Liverpool",Concetto Lo Bello (Referee) · Jose Maria Codesal (AR1) · Juan Gardeazabal (AR2),1966-07-25,Concetto Lo Bello,NA,Semi-finals,England,1966,Y,1
Portugal,5,NA,NA,Otto Gloria,Mário Coluna,Eusébio · 27|Eusébio (P) · 43|Eusébio · 56|Eusébio (P) · 59|José Augusto de Almeida · 80,40248,"Goodison Park, Liverpool",Menachem Ashkenazi (Referee) · Karol Galba (AR1) · Pierre Schwinte (AR2),1966-07-23,Menachem Ashkenazi,NA,Quarter-finals,England,1966,Y,1
England,1,NA,NA,Alf Ramsey,Bobby Moore,Geoff Hurst · 78,90584,"Wembley Stadium, London",Rudolf Kreitlein (Referee) · Gottfried Dienst (AR1) · Istvan Zsolt (AR2),1966-07-23,Rudolf Kreitlein,NA,Quarter-finals,England,1966,Y,1
Soviet Union,2,NA,NA,Nikolai Morozov,Albert Shesternyov,Igor Chislenko · 5|Valeriy Porkujan · 46,26844,"Roker Park Ground, Sunderland",Juan Gardeazabal (Referee) · Jose Maria Codesal (AR1) · Joaquim Fernandes Campos (AR2),1966-07-23,Juan Gardeazabal,NA,Quarter-finals,England,1966,Y,1
West Germany,4,NA,NA,Helmut Schoen,Uwe Seeler,Helmut Haller · 11|Franz Beckenbauer · 70|Uwe Seeler · 75|Helmut Haller · 83,40007,"Hillsborough, Sheffield",Jim Finney (Referee) · Aly Hussein Kandil (AR1) · Hugh Phillips (AR2),1966-07-23,Jim Finney,NA,Quarter-finals,England,1966,Y,1
England,2,NA,NA,Alf Ramsey,Bobby Moore,Roger Hunt · 38|Roger Hunt · 75,98270,"Wembley Stadium, London",Arturo Yamasaki Maldonado (Referee) · Karol Galba (AR1) · Dimitar Rumentchev (AR2),1966-07-20,Arturo Yamasaki Maldonado,NA,Group stage,England,1966,Y,1
Hungary,3,NA,NA,Lajos Baroti,Ferenc Sipos,Ivan Davidov (OG) · 43|Kálmán Mészöly · 45|Ferenc Bene · 54,24129,"Old Trafford Stadium, Manchester",Roberto Goicoechea (Referee) · Juan Gardeazabal (AR1) · Jose Maria Codesal (AR2),1966-07-20,Roberto Goicoechea,NA,Group stage,England,1966,Y,1
West Germany,2,NA,NA,Helmut Schoen,Uwe Seeler,Lothar Emmerich · 38|Uwe Seeler · 84,42187,"Villa Park, Birmingham",Armando Marques (Referee) · Claudio Vicuna (AR1) · Duk Ryong Choi (AR2),1966-07-20,Armando Marques,NA,Group stage,England,1966,Y,1
Soviet Union,2,NA,NA,Nikolai Morozov,Albert Shesternyov,Valeriy Porkujan · 28|Valeriy Porkujan · 85,16027,"Roker Park Ground, Sunderland",John Adair (Referee) · Pierre Schwinte (AR1) · William Clements (AR2),1966-07-20,John Adair,NA,Group stage,England,1966,Y,1
Uruguay,0,NA,NA,Ondino Viera,Horacio Troche,NA,61112,"Wembley Stadium, London",Bertil Loeoew (Referee) · Claudio Vicuna (AR1) · Concetto Lo Bello (AR2),1966-07-19,Bertil Loeoew,NA,Group stage,England,1966,Y,0.5
Argentina,2,NA,NA,Juan Carlos Lorenzo,Antonio Rattín,Luis Artime · 53|Ermindo Onega · 81,32127,"Hillsborough, Sheffield",Joaquim Fernandes Campos (Referee) · Istvan Zsolt (AR1) · Tofik Bakhramov (AR2),1966-07-19,Joaquim Fernandes Campos,NA,Group stage,England,1966,Y,1
