team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
France,4,1.1,NA,Didier Deschamps,Hugo Lloris,Mario Mandžukić (OG) · 18|Antoine Griezmann (P) · 38|Paul Pogba · 59|Kylian Mbappé · 65,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Björn Kuipers (4th) · Massimiliano Irrati (VAR),2018-07-15,Néstor Pitana,NA,Final,Russia,2018,Y,1
Belgium,2,1.5,NA,Roberto Martínez,Eden Hazard,Thomas Meunier · 4|Eden Hazard · 82,64406,"Gazprom Arena, Sankt-Petersburg",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Malang Diédhiou (4th) · Mark Geiger (VAR),2018-07-14,Alireza Faghani,NA,Third-place match,Russia,2018,Y,1
Croatia,2,1.7,NA,Zlatko Dalić,Luka Modrić,Ivan Perišić · 68|Mario Mandžukić · 109,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Björn Kuipers (4th) · Danny Makkelie (VAR),2018-07-11,Cüneyt Çakιr,Required Extra Time,Semi-finals,Russia,2018,Y,1
France,1,1.7,NA,Didier Deschamps,Hugo Lloris,Samuel Umtiti · 51,64286,"Gazprom Arena, Sankt-Petersburg",Andrés Cunha (Referee) · Nicolás Tarán (AR1) · Mauricio Espinosa (AR2) · César Arturo Ramos (4th) · Massimiliano Irrati (VAR),2018-07-10,Andrés Cunha,NA,Semi-finals,Russia,2018,Y,1
Sweden,0,0.5,NA,Janne Andersson,Andreas Granqvist,NA,39991,"Cosmos Arena, Samara",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Antonio Matéu Lahoz (4th) · Danny Makkelie (VAR),2018-07-07,Björn Kuipers,NA,Quarter-finals,Russia,2018,Y,0
Russia,2,1,3,Stanislav Cherchesov,Igor Akinfeev,Denis Cheryshev · 31|Mário Fernandes · 115,44287,"Olimpiyskiy Stadion Fisht, Sochi",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Janny Sikazwe (4th) · Massimiliano Irrati (VAR),2018-07-07,Sandro Ricci,Croatia won on penalty kicks following extra time,Quarter-finals,Russia,2018,Y,0.5
Uruguay,0,0.9,NA,Óscar Tabárez,Diego Godín,NA,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Alireza Faghani (4th) · Massimiliano Irrati (VAR),2018-07-06,Néstor Pitana,NA,Quarter-finals,Russia,2018,Y,0
Brazil,1,2.8,NA,Tite,Miranda,Renato Augusto · 76,42873,"Kazan Arena, Kazan",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Jair Marrufo (4th) · Daniele Orsato (VAR),2018-07-06,Milorad Mažić,NA,Quarter-finals,Russia,2018,Y,0
Sweden,1,1.3,NA,Janne Andersson,Andreas Granqvist,Emil Forsberg · 66,64042,"Gazprom Arena, Sankt-Petersburg",Damir Skomina (Referee) · Jure Praprotnik (AR1) · Robert Vukan (AR2) · Nawaf Shukralla (4th) · Daniele Orsato (VAR),2018-07-03,Damir Skomina,NA,Round of 16,Russia,2018,Y,1
Colombia,1,0.6,3,José Pekerman,Radamel Falcao,Yerry Mina · 90+3,44190,"Otkrytie Arena, Moskva",Mark Geiger (Referee) · Joe Fletcher (AR1) · Frank Anderson (AR2) · Matt Conger (4th) · Danny Makkelie (VAR),2018-07-03,Mark Geiger,England won on penalty kicks following extra time,Round of 16,Russia,2018,Y,0.5
Brazil,2,2.7,NA,Tite,Thiago Silva,Neymar · 51|Roberto Firmino · 88,41970,"Cosmos Arena, Samara",Gianluca Rocchi (Referee) · Elenito Di Liberatore (AR1) · Mauro Tonolini (AR2) · Antonio Matéu Lahoz (4th) · Massimiliano Irrati (VAR),2018-07-02,Gianluca Rocchi,NA,Round of 16,Russia,2018,Y,1
Belgium,3,2.5,NA,Roberto Martínez,Eden Hazard,Jan Vertonghen · 69|Marouane Fellaini · 74|Nacer Chadli · 90+4,41466,"Rostov Arena, Rostov-na-Donu",Malang Diédhiou (Referee) · Djibril Camara (AR1) · El Hadji Malick Samba (AR2) · Bakary Papa Gassama (4th) · Felix Zwayer (VAR),2018-07-02,Malang Diédhiou,NA,Round of 16,Russia,2018,Y,1
Spain,1,1.8,3,Fernando Hierro,Sergio Ramos,Sergei Ignashevich (OG) · 12,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Clément Turpin (4th) · Danny Makkelie (VAR),2018-07-01,Björn Kuipers,Russia won on penalty kicks following extra time,Round of 16,Russia,2018,Y,0.5
Croatia,1,2.5,3,Zlatko Dalić,Luka Modrić,Mario Mandžukić · 4,40851,"Stadion Nizhny Novgorod, Nizhny Novgorod",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Enrique Cáceres (4th) · Mauro Vigliano (VAR),2018-07-01,Néstor Pitana,Croatia won on penalty kicks following extra time,Round of 16,Russia,2018,Y,0.5
France,4,2.2,NA,Didier Deschamps,Hugo Lloris,Antoine Griezmann (P) · 13|Benjamin Pavard · 57|Kylian Mbappé · 64|Kylian Mbappé · 68,42873,"Kazan Arena, Kazan",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Julio Bascuñán (4th) · Massimiliano Irrati (VAR),2018-06-30,Alireza Faghani,NA,Round of 16,Russia,2018,Y,1
Uruguay,2,0.6,NA,Óscar Tabárez,Diego Godín,Edinson Cavani · 7|Edinson Cavani · 62,44287,"Olimpiyskiy Stadion Fisht, Sochi",César Arturo Ramos (Referee) · Marvin Torrentera (AR1) · Miguel Ángel Hernández (AR2) · Jair Marrufo (4th) · Mark Geiger (VAR),2018-06-30,César Arturo Ramos,NA,Round of 16,Russia,2018,Y,1
Japan,0,0.7,NA,Akira Nishino,Eiji Kawashima,NA,42189,"Volgograd Arena, Volgograd",Janny Sikazwe (Referee) · Jerson dos Santos (AR1) · Zakhele Siwela (AR2) · Ricardo Montero (4th) · Daniele Orsato (VAR),2018-06-28,Janny Sikazwe,NA,Group stage,Russia,2018,Y,0
Senegal,0,0.5,NA,Aliou Cissé,Cheikhou Kouyaté,NA,41970,"Cosmos Arena, Samara",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Bamlak Tessema (4th) · Danny Makkelie (VAR),2018-06-28,Milorad Mažić,NA,Group stage,Russia,2018,Y,0
England,0,0.9,NA,Gareth Southgate,Eric Dier,NA,33973,"Kaliningrad Stadium, Kaliningrad",Damir Skomina (Referee) · Jure Praprotnik (AR1) · Robert Vukan (AR2) · Mohammed Abdulla Hassan (4th) · Artur Soares Dias (VAR),2018-06-28,Damir Skomina,NA,Group stage,Russia,2018,Y,0
Panama,1,0.6,NA,Hernán Darío Gómez,Román Torres,Yassine Meriah (OG) · 33,37168,"Mordovia Arena, Saransk",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Taleb Salem Al Marri (AR2) · Mehdi Abid Charef (4th) · Tiago Martins (VAR),2018-06-28,Nawaf Shukralla,NA,Group stage,Russia,2018,Y,0
Korea Republic,2,1.7,NA,Shin Taeyong,Son Heung-min,Kim Young-gwon · 90+3|Son Heung-min · 90+6,41835,"Kazan Arena, Kazan",Mark Geiger (Referee) · Joe Fletcher (AR1) · Frank Anderson (AR2) · Julio Bascuñán (4th) · Danny Makkelie (VAR),2018-06-27,Mark Geiger,NA,Group stage,Russia,2018,Y,1
Mexico,0,1.4,NA,Juan Carlos Osorio,Andrés Guardado,NA,33061,"Stadion Central'nyj, Yekaterinburg",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Andrés Cunha (4th) · Mauro Vigliano (VAR),2018-06-27,Néstor Pitana,NA,Group stage,Russia,2018,Y,0
Switzerland,2,1.4,NA,Vladimir Petković,Stephan Lichtsteiner,Blerim Džemaili · 31|Josip Drmić · 88,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · Norbert Hauata (4th) · Felix Zwayer (VAR),2018-06-27,Clément Turpin,NA,Group stage,Russia,2018,Y,0.5
Serbia,0,0.8,NA,Mladen Krstajić,Aleksandar Kolarov,NA,44190,"Otkrytie Arena, Moskva",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Nawaf Shukralla (4th) · Massimiliano Irrati (VAR),2018-06-27,Alireza Faghani,NA,Group stage,Russia,2018,Y,0
Australia,0,0.9,NA,Bert van Marwijk,Mile Jedinak,NA,44073,"Olimpiyskiy Stadion Fisht, Sochi",Sergey Karasev (Referee) · Anton Averianov (AR1) · Tikhon Kalugin (AR2) · Ryūji Satō (4th) · Danny Makkelie (VAR),2018-06-26,Sergey Karasev,NA,Group stage,Russia,2018,Y,0
Denmark,0,0.2,NA,Åge Hareide,Simon Kjær,NA,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Gianluca Rocchi (4th) · Mauro Vigliano (VAR),2018-06-26,Sandro Ricci,NA,Group stage,Russia,2018,Y,0.5
Iceland,1,2.1,NA,Heimir Hallgrímsson,Aron Gunnarsson,Gylfi Sigurðsson (P) · 76,43472,"Rostov Arena, Rostov-na-Donu",Antonio Matéu Lahoz (Referee) · Pau Cebrián Devis (AR1) · Roberto Díaz Pérez (AR2) · John Pitti (4th) · Paolo Valeri (VAR),2018-06-26,Antonio Matéu Lahoz,NA,Group stage,Russia,2018,Y,0
Nigeria,1,1.4,NA,Gernot Rohr,John Obi Mikel,Victor Moses (P) · 51,64468,"Gazprom Arena, Sankt-Petersburg",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Björn Kuipers (4th) · Daniele Orsato (VAR),2018-06-26,Cüneyt Çakιr,NA,Group stage,Russia,2018,Y,0
Saudi Arabia,2,2.6,NA,Juan Antonio Pizzi,Osama Hawsawi,Salman Al-Faraj (P) · 45+6|Salem Al-Dawsari · 90+5,36823,"Volgograd Arena, Volgograd",Wilmar Roldán (Referee) · Alexander Guzmán (AR1) · Cristián de la Cruz (AR2) · Ricardo Montero (4th) · Artur Soares Dias (VAR),2018-06-25,Wilmar Roldán,NA,Group stage,Russia,2018,Y,1
Uruguay,3,2.4,NA,Óscar Tabárez,Diego Godín,Luis Suárez · 10|Denis Cheryshev (OG) · 23|Edinson Cavani · 90,41970,"Cosmos Arena, Samara",Malang Diédhiou (Referee) · Djibril Camara (AR1) · El Hadji Malick Samba (AR2) · Bamlak Tessema (4th) · Clément Turpin (VAR),2018-06-25,Malang Diédhiou,NA,Group stage,Russia,2018,Y,1
Spain,2,2.9,NA,Fernando Hierro,Sergio Ramos,Isco · 19|Iago Aspas · 90+1,33973,"Kaliningrad Stadium, Kaliningrad",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Jakhongir Saidov (AR2) · Mohammed Abdulla Hassan (4th) · Felix Zwayer (VAR),2018-06-25,Ravshan Irmatov,NA,Group stage,Russia,2018,Y,0.5
IR Iran,1,1.4,NA,Carlos Queiroz,Ehsan Hajsafi,Karim Ansarifard (P) · 90+3,41685,"Mordovia Arena, Saransk",Enrique Cáceres (Referee) · Eduardo Cardozo (AR1) · Juan Zorrilla (AR2) · Mehdi Abid Charef (4th) · Massimiliano Irrati (VAR),2018-06-25,Enrique Cáceres,NA,Group stage,Russia,2018,Y,0.5
England,6,2.8,NA,Gareth Southgate,Harry Kane,John Stones · 8|Harry Kane (P) · 22|Jesse Lingard · 36|John Stones · 40|Harry Kane (P) · 45+1|Harry Kane · 62,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Gehad Grisha (Referee) · Redouane Achik (AR1) · Waleed Ahmed Ali (AR2) · Norbert Hauata (4th) · Danny Makkelie (VAR),2018-06-24,Gehad Grisha,NA,Group stage,Russia,2018,Y,1
Japan,2,0.9,NA,Akira Nishino,Makoto Hasebe,Takashi Inui · 34|Keisuke Honda · 78,32572,"Stadion Central'nyj, Yekaterinburg",Gianluca Rocchi (Referee) · Elenito Di Liberatore (AR1) · Mauro Tonolini (AR2) · Abdelrahman Al Jassim (4th) · Massimiliano Irrati (VAR),2018-06-24,Gianluca Rocchi,NA,Group stage,Russia,2018,Y,0.5
Poland,0,1.1,NA,Adam Nawałka,Robert Lewandowski,NA,42873,"Kazan Arena, Kazan",César Arturo Ramos (Referee) · Marvin Torrentera (AR1) · Miguel Ángel Hernández (AR2) · Julio Bascuñán (4th) · Mauro Vigliano (VAR),2018-06-24,César Arturo Ramos,NA,Group stage,Russia,2018,Y,0
Belgium,5,5.2,NA,Roberto Martínez,Eden Hazard,Eden Hazard (P) · 6|Romelu Lukaku · 16|Romelu Lukaku · 45+3|Eden Hazard · 51|Michy Batshuayi · 90,44190,"Otkrytie Arena, Moskva",Jair Marrufo (Referee) · Corey Rockwell (AR1) · Juan Zumba (AR2) · Andrés Cunha (4th) · Mark Geiger (VAR),2018-06-23,Jair Marrufo,NA,Group stage,Russia,2018,Y,1
Korea Republic,1,0.9,NA,Shin Taeyong,Cho Hyun-woo,Son Heung-min · 90+3,43472,"Rostov Arena, Rostov-na-Donu",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · John Pitti (4th) · Daniele Orsato (VAR),2018-06-23,Milorad Mažić,NA,Group stage,Russia,2018,Y,0
Germany,2,1.4,NA,Joachim Löw,Manuel Neuer,Marco Reus · 48|Jérôme Boateng · 82|Toni Kroos · 90+5,44287,"Olimpiyskiy Stadion Fisht, Sochi",Szymon Marciniak (Referee) · Paweł Sokolnicki (AR1) · Tomasz Listkiewicz (AR2) · Ryūji Satō (4th) · Clément Turpin (VAR),2018-06-23,Szymon Marciniak,NA,Group stage,Russia,2018,Y,1
Brazil,2,2.6,NA,Tite,Thiago Silva,Philippe Coutinho · 90+1|Neymar · 90+7,64468,"Gazprom Arena, Sankt-Petersburg",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Damir Skomina (4th) · Danny Makkelie (VAR),2018-06-22,Björn Kuipers,NA,Group stage,Russia,2018,Y,1
Nigeria,2,0.9,NA,Gernot Rohr,John Obi Mikel,Ahmed Musa · 49|Ahmed Musa · 75,40904,"Volgograd Arena, Volgograd",Matt Conger (Referee) · Simon Lount (AR1) · Tevita Makasini (AR2) · Ricardo Montero (4th) · Massimiliano Irrati (VAR),2018-06-22,Matt Conger,NA,Group stage,Russia,2018,Y,1
Serbia,1,1.5,NA,Mladen Krstajić,Aleksandar Kolarov,Aleksandar Mitrović · 5,33167,"Kaliningrad Stadium, Kaliningrad",Felix Brych (Referee) · Mark Borsch (AR1) · Stefan Lupp (AR2) · Nawaf Shukralla (4th) · Felix Zwayer (VAR),2018-06-22,Felix Brych,NA,Group stage,Russia,2018,Y,0
Denmark,1,0.8,NA,Åge Hareide,Simon Kjær,Christian Eriksen · 7,40727,"Cosmos Arena, Samara",Antonio Matéu Lahoz (Referee) · Pau Cebrián Devis (AR1) · Roberto Díaz Pérez (AR2) · Bamlak Tessema (4th) · Mark Geiger (VAR),2018-06-21,Antonio Matéu Lahoz,NA,Group stage,Russia,2018,Y,0.5
France,1,2,NA,Didier Deschamps,Hugo Lloris,Kylian Mbappé · 34,32789,"Stadion Central'nyj, Yekaterinburg",Mohammed Abdulla Hassan (Referee) · Mohamed Ahmed Al Hammadi (AR1) · Hasan Mohamed Al Mahri (AR2) · Janny Sikazwe (4th) · Daniele Orsato (VAR),2018-06-21,Mohammed Abdulla Hassan,NA,Group stage,Russia,2018,Y,1
Argentina,0,1.3,NA,Jorge Sampaoli,Lionel Messi,NA,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Jakhongir Saidov (AR2) · Norbert Hauata (4th) · Felix Zwayer (VAR),2018-06-21,Ravshan Irmatov,NA,Group stage,Russia,2018,Y,0
Portugal,1,1.2,NA,Fernando Santos,Cristiano Ronaldo,Cristiano Ronaldo · 4,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Mark Geiger (Referee) · Joe Fletcher (AR1) · Frank Anderson (AR2) · Sergey Karasev (4th) · Felix Zwayer (VAR),2018-06-20,Mark Geiger,NA,Group stage,Russia,2018,Y,1
Uruguay,1,1.7,NA,Óscar Tabárez,Diego Godín,Luis Suárez · 23,42678,"Rostov Arena, Rostov-na-Donu",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · John Pitti (4th) · Szymon Marciniak (VAR),2018-06-20,Clément Turpin,NA,Group stage,Russia,2018,Y,1
IR Iran,0,0.7,NA,Carlos Queiroz,Ehsan Hajsafi,NA,42718,"Kazan Arena, Kazan",Andrés Cunha (Referee) · Nicolás Tarán (AR1) · Mauricio Espinosa (AR2) · Julio Bascuñán (4th) · Mauro Vigliano (VAR),2018-06-20,Andrés Cunha,NA,Group stage,Russia,2018,Y,0
Colombia,1,1,NA,José Pekerman,Radamel Falcao,Carlos Sánchez · 3|Juan Quintero · 39,40842,"Mordovia Arena, Saransk",Damir Skomina (Referee) · Jure Praprotnik (AR1) · Robert Vukan (AR2) · Mehdi Abid Charef (4th) · Danny Makkelie (VAR),2018-06-19,Damir Skomina,NA,Group stage,Russia,2018,Y,0
Poland,1,0.8,NA,Adam Nawałka,Robert Lewandowski,Grzegorz Krychowiak · 86,44190,"Otkrytie Arena, Moskva",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Taleb Salem Al Marri (AR2) · Abdelrahman Al Jassim (4th) · Artur Soares Dias (VAR),2018-06-19,Nawaf Shukralla,NA,Group stage,Russia,2018,Y,0
Russia,3,1.2,NA,Stanislav Cherchesov,Igor Akinfeev,Ahmed Fathy (OG) · 47|Denis Cheryshev · 59|Artem Dzyuba · 62,64468,"Gazprom Arena, Sankt-Petersburg",Enrique Cáceres (Referee) · Eduardo Cardozo (AR1) · Juan Zorrilla (AR2) · Cüneyt Çakιr (4th) · Massimiliano Irrati (VAR),2018-06-19,Enrique Cáceres,NA,Group stage,Russia,2018,Y,1
Sweden,1,2.3,NA,Janne Andersson,Robin Olsen,Andreas Granqvist (P) · 65,42300,"Stadion Nizhny Novgorod, Nizhny Novgorod",Joel Aguilar (Referee) · Juan Zumba (AR1) · Juan Carlos Mora (AR2) · Norbert Hauata (4th) · Mauro Vigliano (VAR),2018-06-18,Joel Aguilar,NA,Group stage,Russia,2018,Y,1
Belgium,3,2,NA,Roberto Martínez,Eden Hazard,Dries Mertens · 48|Romelu Lukaku · 69|Romelu Lukaku · 75,43257,"Olimpiyskiy Stadion Fisht, Sochi",Janny Sikazwe (Referee) · Jerson dos Santos (AR1) · Zakhele Siwela (AR2) · Ryūji Satō (4th) · Bastian Dankert (VAR),2018-06-18,Janny Sikazwe,NA,Group stage,Russia,2018,Y,1
Tunisia,1,1,NA,Nabil Maâloul,Wahbi Khazri,Ferjani Sassi (P) · 35,41064,"Volgograd Arena, Volgograd",Wilmar Roldán (Referee) · Alexander Guzmán (AR1) · Cristián de la Cruz (AR2) · Ricardo Montero (4th) · Sandro Ricci (VAR),2018-06-18,Wilmar Roldán,NA,Group stage,Russia,2018,Y,0
Costa Rica,0,0.9,NA,Oscar Ramírez,Bryan Ruiz,NA,41432,"Cosmos Arena, Samara",Malang Diédhiou (Referee) · Djibril Camara (AR1) · El Hadji Malick Samba (AR2) · Bamlak Tessema (4th) · Clément Turpin (VAR),2018-06-17,Malang Diédhiou,NA,Group stage,Russia,2018,Y,0
Germany,0,1.4,NA,Joachim Löw,Manuel Neuer,NA,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Mohammed Abdulla Hassan (4th) · Massimiliano Irrati (VAR),2018-06-17,Alireza Faghani,NA,Group stage,Russia,2018,Y,0
Brazil,1,2.2,NA,Tite,Marcelo,Philippe Coutinho · 20,43109,"Rostov Arena, Rostov-na-Donu",César Ramos (Referee) · Marvin Torrentera (AR1) · Miguel Ángel Hernández (AR2) · John Pitti (4th) · Paolo Valeri (VAR),2018-06-17,César Ramos,NA,Group stage,Russia,2018,Y,0.5
France,2,1.3,NA,Didier Deschamps,Hugo Lloris,Antoine Griezmann (P) · 58|Aziz Behich (OG) · 80,41279,"Kazan Arena, Kazan",Andrés Cunha (Referee) · Nicolás Tarán (AR1) · Mauricio Espinosa (AR2) · Julio Bascuñán (4th) · Mauro Vigliano (VAR),2018-06-16,Andrés Cunha,NA,Group stage,Russia,2018,Y,1
Argentina,1,1.9,NA,Jorge Sampaoli,Lionel Messi,Sergio Agüero · 19,44190,"Otkrytie Arena, Moskva",Szymon Marciniak (Referee) · Paweł Sokolnicki (AR1) · Tomasz Listkiewicz (AR2) · Wilmar Roldán (4th) · Mark Geiger (VAR),2018-06-16,Szymon Marciniak,NA,Group stage,Russia,2018,Y,0.5
Peru,0,1.7,NA,Ricardo Gareca,Alberto Rodríguez,NA,40502,"Mordovia Arena, Saransk",Bakary Papa Gassama (Referee) · Jean-Claude Birumushahu (AR1) · Abdelhak Etchiali (AR2) · Mehdi Abid Charef (4th) · Felix Zwayer (VAR),2018-06-16,Bakary Papa Gassama,NA,Group stage,Russia,2018,Y,0
Croatia,2,1.5,NA,Zlatko Dalić,Luka Modrić,Oghenekaro Etebo (OG) · 32|Luka Modrić (P) · 71,31136,"Kaliningrad Stadium, Kaliningrad",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Antonio Matéu Lahoz (4th) · Daniele Orsato (VAR),2018-06-16,Sandro Ricci,NA,Group stage,Russia,2018,Y,1
Egypt,0,0.3,NA,Héctor Cúper,Ahmed Fathy,NA,27015,"Stadion Central'nyj, Yekaterinburg",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Milorad Mažić (4th) · Danny Makkelie (VAR),2018-06-15,Björn Kuipers,NA,Group stage,Russia,2018,Y,0
Morocco,0,0.7,NA,Hervé Renard,Medhi Benatia,NA,62548,"Gazprom Arena, Sankt-Petersburg",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Sergey Karasev (4th) · Felix Zwayer (VAR),2018-06-15,Cüneyt Çakιr,NA,Group stage,Russia,2018,Y,0
Portugal,3,1.2,NA,Fernando Santos,Cristiano Ronaldo,Cristiano Ronaldo (P) · 4|Cristiano Ronaldo · 44|Cristiano Ronaldo · 88,43866,"Olimpiyskiy Stadion Fisht, Sochi",Gianluca Rocchi (Referee) · Elenito Di Liberatore (AR1) · Mauro Tonolini (AR2) · Ryūji Satō (4th) · Massimiliano Irrati (VAR),2018-06-15,Gianluca Rocchi,NA,Group stage,Russia,2018,Y,0.5
Russia,5,1.7,NA,Stanislav Cherchesov,Igor Akinfeev,Yuri Gazinskiy · 12|Denis Cheryshev · 43|Artem Dzyuba · 71|Denis Cheryshev · 90+1|Aleksandr Golovin · 90+5,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Néstor Pitana (Referee) · Juan Pablo Belatti (AR1) · Hernán Maidana (AR2) · Sandro Ricci (4th) · Massimiliano Irrati (VAR),2018-06-14,Néstor Pitana,NA,Group stage,Russia,2018,Y,1
Germany,1,NA,NA,Joachim Löw,NA,Mario Götze · 113,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Carlos Vera (4th),2014-07-13,Nicola Rizzoli,Required Extra Time,Final,Brazil,2014,Y,1
Brazil,0,NA,NA,Luiz Felipe Scolari,NA,NA,68034,"Estádio Nacional de Brasília, Brasília",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Yuichi Nishimura (4th),2014-07-12,Djamel Haïmoudi,NA,Third-place match,Brazil,2014,Y,0
Netherlands,0,NA,2,Louis van Gaal,NA,NA,63267,"Arena Corinthians, São Paulo",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Jonas Eriksson (4th),2014-07-09,Cüneyt Çakιr,Argentina won on penalty kicks following extra time,Semi-finals,Brazil,2014,Y,0.5
Brazil,1,NA,NA,Luiz Felipe Scolari,NA,Oscar · 90,58141,"Estádio Governador Magalhães Pinto, Belo Horizonte",Marco Antonio Rodríguez (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Mark Geiger (4th),2014-07-08,Marco Antonio Rodríguez,NA,Semi-finals,Brazil,2014,Y,0
Argentina,1,NA,NA,Alejandro Sabella,NA,Gonzalo Higuaín · 8,68551,"Estádio Nacional de Brasília, Brasília",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Benjamin Williams (4th),2014-07-05,Nicola Rizzoli,NA,Quarter-finals,Brazil,2014,Y,1
Netherlands,0,NA,4,Louis van Gaal,NA,NA,51179,"Itaipava Arena Fonte Nova, Salvador",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Noumandiez Doué (4th),2014-07-05,Ravshan Irmatov,Netherlands won on penalty kicks following extra time,Quarter-finals,Brazil,2014,Y,0.5
France,0,NA,NA,Didier Deschamps,NA,NA,74240,"Estadio Jornalista Mário Filho, Rio de Janeiro",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Jonas Eriksson (4th),2014-07-04,Néstor Pitana,NA,Quarter-finals,Brazil,2014,Y,0
Brazil,2,NA,NA,Luiz Felipe Scolari,NA,Thiago Silva · 7|David Luiz · 69,60342,"Estádio Castelão, Fortaleza",Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Svein Oddvar Moen (4th),2014-07-04,Carlos Velasco,NA,Quarter-finals,Brazil,2014,Y,1
Argentina,1,NA,NA,Alejandro Sabella,NA,Ángel Di María · 118,63255,"Arena Corinthians, São Paulo",Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Svein Oddvar Moen (4th),2014-07-01,Jonas Eriksson,Required Extra Time,Round of 16,Brazil,2014,Y,1
Belgium,2,NA,NA,Marc Wilmots,NA,Kevin De Bruyne · 93|Romelu Lukaku · 105,51227,"Itaipava Arena Fonte Nova, Salvador",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Norbert Hauata (4th),2014-07-01,Djamel Haïmoudi,Required Extra Time,Round of 16,Brazil,2014,Y,1
France,2,NA,NA,Didier Deschamps,NA,Paul Pogba · 79|Joseph Yobo (OG) · 90+2,67882,"Estádio Nacional de Brasília, Brasília",Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Alireza Faghani (4th),2014-06-30,Mark Geiger,NA,Round of 16,Brazil,2014,Y,1
Germany,2,NA,NA,Joachim Löw,NA,André Schürrle · 92|Mesut Özil · 119,43063,"Estádio José Pinheiro Borba, Porto Alegre",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Walter López (4th),2014-06-30,Sandro Ricci,Required Extra Time,Round of 16,Brazil,2014,Y,1
